id_ocorrencia;local_ocorrencia;latitude_ocorrencia;longitude_ocorrencia;data_ocorrencia;hora_ocorrencia;presen_agen_segur_ocorrencia;qtd_morto_civil_ocorrencia;qtd_morto_agen_segur_ocorrencia;qtd_ferido_civil_ocorrencia;qtd_ferido_agen_segur_ocorrencia;estado_id;cidade_id;nome_cidade;cod_ibge_cidade;gentilico_cidade;populacao_cidade;area_cidade;densidade_demo_cidade;nome_estado;uf_estado;cod_ibge_estado;homem_qtd_mortos_oc;homem_qtd_feridos_oc;mulher_qtd_mortos_oc;mulher_qtd_feridos_oc;chacina_oc;chacina_qtd_mortos_oc;chacina_unidades_policiais_oc;ag_seguranca_vitima_oc;ag_seguranca_mortos_status_oc;ag_seguranca_feridos_status_oc;bala_perdida_oc;bala_perdida_qtd_mortos_oc;bala_perdida_qtd_feridos_oc;interior_residencia_oc;interior_residencia_qtd_mortos_oc;interior_residencia_qtd_feridos_oc;imediacao_ensino_oc;imediacao_ensino_qtd_mortos_oc;imediacao_ensino_qtd_feridos_oc;vitima_crianca_oc;vitima_crianca_qtd_mortos_oc;info_adicional_crianca_morta_oc;vitima_crianca_qtd_feridos_oc;info_adicional_crianca_ferida_oc;vitima_adolescente_oc;vitima_adolescente_qtd_mortos_oc;info_adicional_adolescente_morto_oc;vitima_adolescente_qtd_feridos_oc;info_adicional_adolescente_ferido_oc;vitima_idoso_oc;vitima_idoso_qtd_mortos_oc;info_adicional_idoso_morto_oc;vitima_idoso_qtd_feridos_oc;info_adicional_idoso_ferido_oc;informacao_via_oc;descricao_via_interrompida_oc;data_interrupcao_via_oc;data_liberacao_via_oc;outros_recortes;motivo_principal;motivo_complementar
56818;Rua Professor Lacé - Ramos, Rio de Janeiro - RJ, Brasil;-22.8574021;-43.2660034;01/05/2023;02:59:00;0;1;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;1;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Homicidio/Tentativa;
56819;R. da Conquista, Nova Vitória - Camaçari, BA, 42802-441, Brasil;-12.702460090118924;-38.316237563194655;30/04/2023;16:00:00;0;1;0;1;0;5;272;Camaçari;2905701;camaçariense;242970;78466;309.70;Bahia;BA;29;1;1;0;0;Não;0;;Não;;;Não;0;0;Sim;1;1;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Homicidio/Tentativa;Não identificado
56822;Santa Eugenia, Nova Iguaçu - RJ, Brasil;-22.7499998;-43.4680916;01/05/2023;22:40:00;0;0;0;0;0;19;3643;Nova Iguaçu;3303500;iguaçuano;796257;52125;1.53;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Não identificado;
56823;Piratininga, Niterói - RJ, Brasil;-22.9533882;-43.0781217;01/05/2023;22:30:00;0;0;0;0;0;19;3641;Niterói;3303302;niteroiense;487562;13392;3.64;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Não identificado;
56824;Rua Júlio César - Jardim Gláucia, Belford Roxo - RJ, Brasil;-22.7587783;-43.3564354;01/05/2023;15:00:00;1;0;0;0;0;19;3602;Belford Roxo;3300456;belford-roxense;469332;7782;6.03;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;39 BPM;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Ação policial;
56825;Morro do Banco, Rio de Janeiro - RJ, Brasil;-22.9877709;-43.2950513;01/05/2023;18:00:00;1;0;0;1;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;1;0;0;Não;0;31 BPM;Não;;;Sim;0;1;Não;0;0;Não;0;0;Não;0;;0;;Sim;0;;1;Bala perdida;Não;0;;0;;Não;;;;;Ação policial;
56826;Alto do Cajá, Parque São Cristóvão, São Cristóvão,Salvador- BA, 41500-687, Brasil;-12.90685479716709;-38.37075463391013;02/05/2023;00:00:00;0;1;0;0;0;5;538;Salvador;2927408;soteropolitano;2675656;69282;3.86;Bahia;BA;29;1;0;0;0;Não;0;;Não;;;Sim;1;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;Perseguição;Tentativa/Roubo;Outro
56827;R. Brício de Abreu, 85 - Morro da Barão, Praça Seca, Rio de Janeiro - RJ, 21321-020, Brasil;"-22.903281520463345 ";-43.34382631901183;02/05/2023;07:05:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Não identificado;
56828;R. Vítor Serra, Pero Vaz, Salvador- BA, Brasil;-12.954433360973486;-38.48689323187713;28/04/2023;00:00:00;0;1;0;0;0;5;538;Salvador;2927408;soteropolitano;2675656;69282;3.86;Bahia;BA;29;1;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Homicidio/Tentativa;Não identificado
56833;" São Caetano, Salvador - BA, 40391-142, Brasil";-12.930974;-38.477211;02/05/2023;03:00:00;1;0;0;1;0;5;538;Salvador;2927408;soteropolitano;2675656;69282;3.86;Bahia;BA;29;0;1;0;0;Não;0;PM;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Ação policial;Arrastão
